coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo
CODDOC0076,54,divorced,terciario,no,3222,no,no,14,67,2,-1,0
CODDOC0078,40,single,secundaria,no,591,no,si,14,87,6,-1,0
CODDOC0080,40,married,secundaria,no,219,si,no,17,204,2,196,1
CODDOC0084,52,married,secundaria,no,657,no,no,7,398,2,460,2
CODDOC0085,37,married,terciario,no,1315,no,no,30,224,1,-1,0
CODDOC0086,51,married,primaria,no,1466,si,no,7,406,2,-1,0
CODDOC0088,35,single,primaria,no,293,si,no,30,521,2,-1,0
CODDOC0091,39,married,primaria,no,111,no,no,18,201,2,-1,0
CODDOC0097,41,married,terciario,no,5426,si,no,14,149,2,-1,0
CODDOC0098,30,single,terciario,no,261,no,no,19,233,1,137,20
CODDOC0105,34,single,secundaria,no,524,no,no,13,9,1,-1,0
CODDOC0109,56,married,primaria,no,3391,no,no,21,243,1,-1,0
CODDOC0111,21,single,secundaria,no,2488,no,no,30,258,6,169,3
CODDOC0112,58,married,terciario,no,1517,si,no,29,7,5,-1,0
CODDOC0113,32,married,secundaria,no,217,si,si,15,317,5,-1,0
CODDOC0114,33,single,secundaria,no,22,no,no,30,76,2,207,1
CODDOC0118,22,single,secundaria,no,4111,no,si,19,65,1,-1,0
CODDOC0120,46,divorced,terciario,no,25,no,no,17,564,2,-1,0
CODDOC0123,32,married,secundaria,no,2693,si,no,21,16,1,-1,0
CODDOC0126,34,single,terciario,no,462,no,no,21,1877,3,-1,0
CODDOC0128,45,single,secundaria,no,586,no,si,28,32,3,-1,0
CODDOC0129,32,single,secundaria,no,228,no,no,5,176,1,288,3
CODDOC0130,77,divorced,terciario,no,4659,no,no,14,161,1,-1,0
CODDOC0131,41,married,primaria,no,168,si,no,18,187,3,-1,0
CODDOC0133,43,married,desconocido,si,-715,si,no,30,67,3,-1,0
CODDOC0135,27,single,secundaria,no,769,si,no,9,317,2,-1,0
CODDOC0137,29,single,secundaria,no,428,si,si,7,54,1,345,2
CODDOC0140,60,married,desconocido,no,6313,no,no,19,39,2,-1,0
CODDOC0143,56,divorced,desconocido,no,1877,si,no,30,86,1,-1,0
CODDOC0145,42,married,secundaria,no,323,si,si,8,280,2,-1,0
CODDOC0146,35,married,terciario,no,106,no,si,11,588,2,-1,0
CODDOC0147,56,married,primaria,no,1906,no,si,19,45,9,-1,0
CODDOC0150,37,single,desconocido,no,391,si,no,8,103,3,-1,0
CODDOC0152,36,single,terciario,no,442,si,si,29,102,3,-1,0
CODDOC0153,45,divorced,primaria,si,-249,si,si,1,92,1,-1,0
CODDOC0154,55,married,secundaria,no,8104,no,no,6,213,2,-1,0
CODDOC0155,39,married,secundaria,no,501,no,no,26,289,1,-1,0
CODDOC0156,35,divorced,secundaria,no,308,no,no,22,77,2,-1,0
CODDOC0157,55,married,secundaria,no,602,no,no,1,324,3,90,2
CODDOC0160,34,married,secundaria,no,1641,si,no,17,380,1,-1,0
CODDOC0162,25,single,secundaria,no,4590,si,no,28,199,2,-1,0
CODDOC0163,41,single,secundaria,no,-256,no,si,9,35,3,-1,0
CODDOC0164,43,married,secundaria,no,978,si,si,26,82,2,-1,0
CODDOC0169,48,married,terciario,no,310,no,no,6,135,1,-1,0
CODDOC0172,37,single,terciario,no,37,no,no,28,253,2,-1,0
CODDOC0176,43,married,secundaria,no,-465,si,si,23,166,1,-1,0
CODDOC0177,44,married,secundaria,no,5181,si,si,31,18,7,-1,0
CODDOC0179,37,married,desconocido,no,1699,no,no,9,63,1,-1,0
CODDOC0183,34,single,secundaria,no,6979,si,no,15,14,5,-1,0
CODDOC0187,34,married,terciario,no,899,si,no,19,377,3,7,4
CODDOC0189,36,married,secundaria,no,23,si,no,8,152,2,347,1
CODDOC0191,49,married,primaria,no,0,si,si,23,97,6,-1,0
CODDOC0192,33,married,secundaria,no,215,si,no,29,543,12,-1,0
CODDOC0194,36,married,secundaria,no,1981,no,no,17,48,2,-1,0
CODDOC0195,23,single,secundaria,no,9216,no,no,5,471,2,-1,0
CODDOC0196,57,divorced,secundaria,no,39,si,no,30,354,3,-1,0
CODDOC0198,38,married,secundaria,no,1,no,si,21,152,2,-1,0
CODDOC0199,42,married,terciario,no,782,no,no,3,285,1,-1,0
CODDOC0200,75,married,secundaria,no,3771,no,no,15,185,1,181,2
CODDOC0202,48,married,secundaria,no,1526,no,no,6,273,2,-1,0
CODDOC0203,35,single,terciario,no,2658,si,no,19,768,2,141,3
CODDOC0204,39,divorced,terciario,no,1315,si,no,19,1337,4,126,1
CODDOC0206,45,single,terciario,no,0,si,no,18,139,2,-1,0
CODDOC0208,29,married,secundaria,no,1599,si,no,8,115,1,61,1
CODDOC0209,38,single,secundaria,no,-196,si,no,2,60,1,271,1
CODDOC0210,56,married,secundaria,no,1333,no,no,28,17,14,-1,0
CODDOC0214,57,married,secundaria,no,11494,no,no,19,198,1,-1,0
CODDOC0215,31,married,terciario,si,-253,no,no,12,220,4,-1,0
CODDOC0216,42,married,terciario,no,372,si,no,3,654,2,-1,0
CODDOC0217,45,married,secundaria,no,1410,no,no,11,71,2,-1,0
CODDOC0218,30,married,secundaria,no,975,si,no,13,256,2,351,2
CODDOC0221,53,married,terciario,no,-22,si,no,31,20,3,-1,0
CODDOC0223,49,married,primaria,no,365,no,no,26,59,2,-1,0
CODDOC0224,41,married,primaria,no,204,no,no,13,111,7,-1,0
CODDOC0226,32,single,secundaria,no,406,si,no,6,227,1,-1,0
CODDOC0227,33,married,secundaria,no,-204,no,no,15,297,3,-1,0
CODDOC0228,33,married,secundaria,no,359,si,no,20,210,1,242,1
CODDOC0229,36,married,primaria,no,123,si,no,18,9,1,-1,0
CODDOC0234,45,single,secundaria,no,0,si,no,26,768,2,91,5
CODDOC0236,48,divorced,secundaria,si,20,no,no,27,145,3,-1,0
CODDOC0238,57,married,desconocido,no,206,si,no,5,216,3,-1,0
CODDOC0241,34,single,secundaria,no,1,si,no,22,483,7,-1,0
CODDOC0242,50,married,terciario,no,4012,no,no,19,690,3,-1,0
CODDOC0244,27,married,secundaria,no,-247,si,si,4,344,2,-1,0
CODDOC0250,43,married,secundaria,no,0,no,si,8,9,2,172,5
CODDOC0251,31,married,terciario,no,395,si,no,9,155,3,-1,0
CODDOC0252,32,married,terciario,no,2349,no,no,14,134,5,-1,0
CODDOC0254,58,married,primaria,no,3401,si,no,3,84,3,265,2
CODDOC0255,46,married,primaria,no,222,no,no,8,71,2,-1,0
CODDOC0262,32,single,secundaria,no,0,no,no,26,181,2,-1,0
CODDOC0266,40,married,secundaria,no,1516,si,si,23,373,1,-1,0
CODDOC0267,29,single,secundaria,no,872,si,no,7,230,1,-1,0
CODDOC0269,38,single,secundaria,no,902,si,no,31,58,13,-1,0
CODDOC0274,35,married,secundaria,no,524,si,no,21,484,4,-1,0
CODDOC0278,38,single,terciario,no,0,no,no,28,247,2,-1,0
CODDOC0279,50,married,primaria,no,5776,no,no,18,49,3,-1,0
CODDOC0280,51,divorced,primaria,no,37,si,no,13,341,1,-1,0
CODDOC0281,59,married,terciario,no,593,no,no,13,64,2,-1,0
CODDOC0283,37,single,secundaria,no,3561,si,no,2,98,1,-1,0
CODDOC0285,40,married,secundaria,no,260,no,no,20,197,6,-1,0
CODDOC0286,28,single,terciario,no,2269,si,no,9,331,1,-1,0
CODDOC0287,47,married,secundaria,no,1060,si,no,6,83,3,-1,0
CODDOC0289,41,married,terciario,no,49,si,no,17,312,5,-1,0
CODDOC0294,53,divorced,secundaria,no,0,si,si,15,135,5,-1,0
CODDOC0295,47,married,terciario,no,3681,no,no,14,101,2,-1,0
CODDOC0299,38,married,secundaria,no,593,si,si,24,1484,24,-1,0
CODDOC0300,32,married,secundaria,no,759,si,no,9,317,5,-1,0
CODDOC0301,70,divorced,primaria,no,4531,no,no,18,445,1,-1,0
CODDOC0304,35,married,secundaria,no,1287,si,no,14,330,2,-1,0
CODDOC0305,56,married,desconocido,no,353,no,si,25,171,2,-1,0
CODDOC0306,56,married,secundaria,no,205,no,si,23,442,2,-1,0
CODDOC0307,49,married,secundaria,no,687,si,no,17,772,1,-1,0
CODDOC0309,35,married,terciario,no,4286,si,no,9,357,1,-1,0
CODDOC0310,38,married,terciario,no,605,no,no,18,147,2,-1,0
CODDOC0313,43,single,primaria,no,2,si,no,30,783,3,-1,0
CODDOC0314,43,married,terciario,no,2,no,si,20,472,2,-1,0
CODDOC0317,46,married,secundaria,no,182,no,no,4,56,1,-1,0
CODDOC0318,50,married,primaria,no,276,no,si,17,641,6,-1,0
CODDOC0319,35,married,secundaria,no,2971,no,no,4,429,4,164,2
CODDOC0320,26,single,secundaria,no,1064,no,no,31,113,1,-1,0
CODDOC0322,37,married,secundaria,no,-67,no,no,2,157,1,-1,0
CODDOC0325,47,married,primaria,no,214,si,si,9,168,1,-1,0
CODDOC0326,33,married,secundaria,no,6699,no,no,9,425,1,462,1
CODDOC0327,51,married,secundaria,no,1760,no,si,19,162,1,-1,0
CODDOC0328,35,single,terciario,no,145,si,no,18,799,2,-1,0
CODDOC0334,32,married,primaria,no,228,si,no,21,1017,6,-1,0
CODDOC0335,30,single,terciario,no,424,no,no,16,298,4,-1,0
CODDOC0337,33,married,primaria,no,-195,no,no,20,9,1,-1,0
CODDOC0339,63,married,primaria,no,1084,no,no,14,201,1,183,1
CODDOC0342,56,married,terciario,no,478,no,no,5,97,1,-1,0
CODDOC0345,37,single,desconocido,no,504,si,no,16,555,1,-1,0
CODDOC0347,57,married,terciario,no,1602,no,no,29,339,3,-1,0
CODDOC0351,31,married,secundaria,no,1660,si,no,20,342,1,-1,0
CODDOC0352,35,married,terciario,si,32,si,no,21,180,1,-1,0
CODDOC0354,50,married,terciario,no,4,no,no,17,223,1,96,2
CODDOC0355,29,married,terciario,no,318,si,no,18,1434,2,356,4
CODDOC0356,30,single,secundaria,no,209,si,no,6,30,2,-1,0
CODDOC0357,46,married,secundaria,no,271,si,no,16,134,4,-1,0
CODDOC0359,48,divorced,secundaria,no,4099,no,no,2,397,2,-1,0
CODDOC0361,36,single,terciario,no,339,no,no,21,6,6,-1,0
CODDOC0362,42,married,primaria,no,0,si,si,7,209,2,-1,0
CODDOC0363,50,married,primaria,no,395,si,no,15,419,2,-1,0
CODDOC0366,23,single,secundaria,no,780,no,no,16,267,1,-1,0
CODDOC0367,38,single,secundaria,no,0,si,no,7,196,2,-1,0
CODDOC0370,30,married,secundaria,no,946,si,no,19,1065,1,183,1
CODDOC0371,58,married,terciario,no,497,no,no,11,138,5,-1,0
CODDOC0372,60,married,primaria,no,55,no,no,4,207,1,-1,0
CODDOC0375,42,married,secundaria,no,-396,si,no,11,80,1,308,4
CODDOC0382,39,married,primaria,no,3705,si,no,16,77,1,-1,0
CODDOC0384,37,married,secundaria,no,1328,si,no,13,121,2,341,4
CODDOC0388,48,married,secundaria,no,302,si,no,26,208,3,-1,0
CODDOC0389,32,married,secundaria,no,1005,no,no,12,215,1,-1,0
CODDOC0390,35,married,secundaria,no,109,si,no,6,597,3,-1,0
CODDOC0391,33,single,terciario,no,1240,si,no,4,505,2,260,1
CODDOC0392,28,single,primaria,no,0,si,si,3,380,4,-1,0
CODDOC0394,35,married,secundaria,no,0,no,no,27,106,4,-1,0
CODDOC0395,33,married,secundaria,no,43,si,no,14,332,2,358,2
CODDOC0398,37,single,terciario,no,6101,no,no,4,60,5,87,1
CODDOC0399,38,married,primaria,no,168,si,si,13,212,3,-1,0
CODDOC0401,35,divorced,terciario,no,4515,si,no,19,98,2,-1,0
CODDOC0402,28,single,secundaria,no,517,no,si,8,681,1,-1,0
CODDOC0403,27,single,secundaria,no,148,no,no,22,203,1,-1,0
CODDOC0405,50,married,secundaria,no,887,no,no,16,287,1,-1,0
CODDOC0407,41,married,terciario,no,744,si,no,14,125,1,-1,0
CODDOC0409,44,married,secundaria,no,438,si,no,8,37,3,303,1
CODDOC0411,49,married,terciario,no,322,no,no,6,72,4,-1,0
CODDOC0413,75,divorced,terciario,no,3810,si,no,16,262,1,183,1
CODDOC0414,42,married,terciario,no,0,no,no,13,325,2,-1,0
CODDOC0415,53,married,secundaria,no,4380,no,no,19,223,7,-1,0
CODDOC0418,45,single,primaria,no,999,no,no,29,182,2,-1,0
CODDOC0419,39,married,secundaria,no,167,si,si,17,330,1,-1,0
CODDOC0420,46,married,secundaria,no,1322,si,si,19,514,1,-1,0
CODDOC0421,42,divorced,secundaria,no,1076,si,no,14,213,1,-1,0
CODDOC0423,26,single,terciario,no,1216,si,no,16,472,2,-1,0
CODDOC0424,37,single,terciario,no,876,si,no,15,140,4,327,2
CODDOC0427,36,married,primaria,no,973,si,si,23,293,1,-1,0
CODDOC0429,32,married,secundaria,no,2366,si,no,20,127,2,-1,0
CODDOC0430,40,married,terciario,no,542,si,no,20,1816,1,-1,0
CODDOC0432,29,married,terciario,no,20,si,no,12,418,1,-1,0
CODDOC0433,34,single,terciario,no,228,si,no,22,387,4,-1,0
CODDOC0434,43,married,secundaria,no,130,no,no,5,156,1,337,3
CODDOC0435,56,married,terciario,no,217,no,si,21,121,2,-1,0
CODDOC0436,55,divorced,terciario,no,0,no,no,6,108,2,-1,0
CODDOC0437,31,married,terciario,no,259,si,no,7,47,1,-1,0
CODDOC0438,27,single,secundaria,no,619,si,no,20,16,5,322,4
CODDOC0441,37,divorced,terciario,no,4303,si,no,23,168,1,-1,0
CODDOC0446,24,married,secundaria,no,1222,si,no,20,369,1,-1,0
CODDOC0447,31,married,secundaria,no,2363,si,no,13,247,1,-1,0
CODDOC0448,66,married,terciario,no,2262,no,no,22,155,1,-1,0
CODDOC0451,35,married,secundaria,no,4508,si,no,18,854,1,-1,0
CODDOC0452,35,divorced,secundaria,no,-402,si,no,17,46,1,-1,0
CODDOC0459,40,single,secundaria,no,641,no,no,16,156,6,-1,0
CODDOC0460,43,divorced,terciario,no,36,no,no,26,118,1,102,2
CODDOC0461,55,married,terciario,no,383,no,no,6,343,3,-1,0
CODDOC0462,50,married,secundaria,no,283,si,no,7,226,3,-1,0
CODDOC0465,32,married,secundaria,no,889,si,no,10,185,1,99,5
CODDOC0466,59,married,secundaria,no,0,no,no,3,722,1,99,4
CODDOC0473,38,married,secundaria,si,15,si,no,10,121,1,-1,0
CODDOC0474,61,married,secundaria,no,4608,no,no,12,212,1,-1,0
CODDOC0478,77,married,terciario,no,7802,no,no,4,421,1,92,2
CODDOC0480,54,married,secundaria,no,1480,si,no,14,108,1,-1,0
CODDOC0481,37,single,desconocido,no,715,si,no,20,247,2,-1,0
CODDOC0483,40,married,secundaria,no,694,si,no,4,97,4,196,5
CODDOC0484,40,married,terciario,no,0,no,no,14,109,8,-1,0
CODDOC0485,54,married,terciario,no,55,si,no,2,112,2,-1,0
CODDOC0486,55,married,primaria,no,136,si,no,19,15,10,-1,0
CODDOC0487,55,divorced,secundaria,si,-404,si,no,22,502,3,-1,0
CODDOC0491,52,married,desconocido,no,826,si,no,15,468,2,-1,0
CODDOC0494,46,married,secundaria,no,22,no,no,26,388,6,-1,0
CODDOC0493,53,married,secundaria,no,1796,no,no,16,295,1,91,2
CODDOC0495,44,single,secundaria,no,244,si,no,12,1735,4,-1,0
CODDOC0496,48,divorced,terciario,no,1328,si,no,6,339,1,-1,0
CODDOC0497,50,married,secundaria,no,7317,si,no,13,172,1,370,1
CODDOC0499,38,single,secundaria,no,258,no,si,20,587,2,-1,0
CODDOC0507,52,single,primaria,no,217,no,si,15,193,6,-1,0
CODDOC0508,42,divorced,terciario,no,360,si,no,24,110,5,-1,0
CODDOC0509,41,single,secundaria,no,428,si,no,12,92,1,-1,0
CODDOC0512,32,married,terciario,no,820,si,no,17,738,3,-1,0
CODDOC0514,48,divorced,terciario,no,108,si,no,27,89,2,-1,0
CODDOC0515,36,married,terciario,no,-381,si,no,31,30,29,-1,0
CODDOC0516,45,divorced,primaria,no,757,no,no,20,103,1,325,4
CODDOC0518,36,married,primaria,no,1925,si,no,20,904,2,-1,0
CODDOC0519,34,married,terciario,no,902,si,no,14,159,1,367,2
CODDOC0520,61,married,secundaria,no,5207,no,no,11,336,1,81,2
CODDOC0522,50,married,secundaria,no,665,no,no,17,238,1,-1,0
CODDOC0524,47,married,primaria,no,233,no,no,8,293,3,-1,0
CODDOC0525,45,married,secundaria,no,-839,si,no,28,68,1,-1,0
CODDOC0526,57,married,primaria,no,5799,no,no,17,97,1,-1,0
CODDOC0528,49,divorced,secundaria,no,66,no,no,9,218,3,-1,0
CODDOC0529,43,married,primaria,no,2567,si,no,14,109,1,360,2
CODDOC0530,40,married,terciario,no,1584,si,no,21,661,1,-1,0
CODDOC0531,32,single,secundaria,no,182,si,no,6,145,1,-1,0
CODDOC0533,34,single,secundaria,no,663,si,no,20,111,1,-1,0
CODDOC0534,46,divorced,secundaria,no,3455,si,no,14,566,2,-1,0
CODDOC0535,29,married,secundaria,no,15,no,no,3,136,1,-1,0
CODDOC0536,52,married,primaria,no,1054,no,no,4,273,1,-1,0
CODDOC0537,45,married,terciario,no,1529,no,no,30,160,1,-1,0
CODDOC0540,41,married,secundaria,no,920,si,si,27,239,1,-1,0
CODDOC0541,47,single,secundaria,no,3696,no,no,12,250,2,181,4
CODDOC0542,27,single,desconocido,no,59,no,no,15,792,4,-1,0
CODDOC0543,27,married,secundaria,no,0,si,no,23,198,13,-1,0
CODDOC0547,47,married,secundaria,si,2,no,no,5,236,2,-1,0
CODDOC0548,54,married,terciario,no,0,no,no,16,118,5,-1,0
CODDOC0549,39,single,terciario,no,12437,no,no,18,40,1,-1,0
CODDOC0551,54,married,primaria,no,211,no,no,19,200,2,-1,0
CODDOC0552,34,married,secundaria,no,-228,si,no,20,187,3,332,3
CODDOC0555,43,single,secundaria,no,11269,no,no,29,92,1,-1,0
CODDOC0556,37,married,secundaria,no,1314,si,no,8,682,2,85,7
CODDOC0557,55,married,primaria,no,2275,no,no,25,139,9,-1,0
CODDOC0559,41,married,secundaria,si,720,no,si,24,651,1,-1,0
CODDOC0561,34,married,secundaria,no,1464,si,no,23,350,1,-1,0
CODDOC0562,28,single,secundaria,no,11555,no,no,8,125,2,-1,0
CODDOC0563,36,married,secundaria,no,-302,si,no,13,36,2,-1,0
CODDOC0564,50,married,secundaria,no,2497,si,no,21,35,1,176,1
CODDOC0566,40,married,secundaria,no,56,si,si,29,194,1,247,1
CODDOC0570,28,single,secundaria,no,459,no,no,16,83,13,-1,0
CODDOC0572,50,married,secundaria,no,1138,no,no,14,219,10,-1,0
CODDOC0574,81,married,secundaria,no,1,no,no,19,65,5,-1,0
CODDOC0576,58,married,desconocido,no,937,no,no,5,155,1,-1,0
CODDOC0578,38,married,terciario,no,-558,si,no,21,533,1,-1,0
CODDOC0581,29,married,terciario,no,361,si,si,28,819,3,-1,0
CODDOC0582,28,single,secundaria,no,227,no,no,30,278,1,-1,0
CODDOC0587,32,single,secundaria,no,518,si,no,18,34,7,-1,0
CODDOC0589,41,married,secundaria,no,-256,si,no,3,147,2,-1,0
CODDOC0592,39,married,secundaria,no,1048,no,si,21,405,1,-1,0
CODDOC0595,37,single,terciario,si,0,si,no,10,108,1,-1,0
CODDOC0596,28,married,desconocido,no,1034,no,no,29,113,1,-1,0
CODDOC0597,47,married,primaria,no,201,si,no,7,58,2,382,1
CODDOC0598,37,married,primaria,no,189,no,no,8,148,4,-1,0
CODDOC0607,28,married,secundaria,no,1020,si,no,28,251,1,-1,0
CODDOC0609,51,single,terciario,no,1594,no,no,4,197,1,-1,0
CODDOC0611,50,single,secundaria,no,72,no,no,8,141,2,-1,0
CODDOC0613,26,single,terciario,no,81,no,no,21,262,3,-1,0
CODDOC0615,39,married,terciario,no,1161,si,no,9,236,1,336,1
CODDOC0616,31,married,secundaria,no,-45,si,no,2,184,1,-1,0
CODDOC0619,30,married,terciario,no,1570,si,no,26,260,1,-1,0
CODDOC0620,35,married,terciario,no,7050,no,no,11,222,3,182,4
CODDOC0621,33,married,primaria,no,3704,si,no,6,447,2,-1,0
CODDOC0625,31,married,terciario,no,1134,no,no,6,174,2,-1,0
CODDOC0627,33,single,terciario,no,9449,si,no,8,428,1,-1,0
CODDOC0630,59,married,terciario,no,2764,no,no,24,237,1,206,2
CODDOC0631,30,single,terciario,no,2,si,si,25,1031,8,-1,0
CODDOC0634,83,married,secundaria,no,0,no,no,18,140,10,-1,0
CODDOC0635,58,divorced,terciario,no,1382,no,no,9,700,1,-1,0
CODDOC0636,33,divorced,terciario,si,280,no,si,18,155,1,-1,0
CODDOC0639,35,divorced,secundaria,no,275,no,si,10,144,5,-1,0
CODDOC0640,27,single,terciario,no,703,si,no,5,590,3,-1,0
CODDOC0646,46,married,secundaria,no,548,no,no,12,1181,4,-1,0
CODDOC0647,56,married,terciario,no,272,no,no,26,103,2,-1,0
CODDOC0650,60,married,primaria,no,252,si,si,13,123,2,147,3
CODDOC0652,27,single,terciario,no,81,no,no,5,197,1,199,3
CODDOC0653,50,divorced,terciario,no,59,si,no,28,67,2,-1,0
CODDOC0654,45,married,secundaria,no,1343,no,si,8,220,1,-1,0
CODDOC0655,58,married,secundaria,no,225,no,no,7,122,6,-1,0
CODDOC0657,58,divorced,primaria,no,2538,si,no,31,307,6,-1,0
CODDOC0659,47,married,secundaria,no,57,no,no,5,253,1,342,1
CODDOC0660,40,married,terciario,no,-117,si,no,17,770,2,-1,0
CODDOC0662,28,single,terciario,no,0,si,no,16,767,5,-1,0
CODDOC0666,54,married,secundaria,no,0,no,no,16,986,1,94,8
CODDOC0667,32,married,terciario,no,0,no,no,19,66,1,-1,0
CODDOC0670,56,married,secundaria,no,4063,no,si,28,31,4,-1,0
CODDOC0671,40,married,secundaria,no,11084,no,no,11,113,1,-1,0
CODDOC0674,33,married,terciario,no,1808,si,no,4,99,4,-1,0
CODDOC0676,37,married,secundaria,no,64,si,no,12,239,4,278,2
CODDOC0678,52,married,secundaria,no,60,no,si,26,196,2,-1,0
CODDOC0679,49,single,secundaria,no,133,no,no,11,319,6,-1,0
CODDOC0680,44,married,primaria,no,3706,no,no,17,209,3,-1,0
CODDOC0683,37,married,secundaria,no,4153,si,no,31,35,16,-1,0
CODDOC0684,30,single,terciario,no,985,si,no,19,88,2,-1,0
CODDOC0688,35,married,primaria,no,-12,si,no,12,212,5,-1,0
CODDOC0689,80,married,primaria,no,6483,no,no,19,123,1,-1,0
CODDOC0690,30,single,terciario,no,60,si,si,7,306,5,-1,0
CODDOC0691,55,single,secundaria,no,3339,si,no,2,63,1,-1,0
CODDOC0692,22,single,terciario,no,1161,no,si,16,119,1,-1,0
CODDOC0695,49,married,terciario,no,1430,no,no,18,231,2,-1,0
CODDOC0696,51,married,secundaria,no,35,no,si,8,123,4,-1,0
CODDOC0697,41,married,terciario,no,6000,si,no,18,265,1,-1,0
CODDOC0702,40,single,terciario,no,445,si,no,24,631,1,-1,0
CODDOC0705,59,married,desconocido,no,1033,no,no,11,1199,1,-1,0
CODDOC0706,35,divorced,terciario,no,1354,si,no,23,736,2,-1,0
CODDOC0707,33,single,terciario,no,123,no,no,19,264,1,-1,0
CODDOC0708,55,married,primaria,no,8894,no,no,11,262,1,-1,0
CODDOC0709,41,married,secundaria,no,429,si,no,13,244,1,-1,0
CODDOC0710,42,married,primaria,no,14752,no,no,19,107,2,-1,0
CODDOC0712,35,divorced,secundaria,no,39,no,no,31,149,2,-1,0
CODDOC0713,28,single,terciario,no,102,no,no,28,321,2,-1,0
CODDOC0715,56,single,terciario,no,15311,no,no,29,157,6,-1,0
CODDOC0716,30,single,secundaria,no,-635,no,no,25,250,1,-1,0
CODDOC0720,39,married,secundaria,no,1045,si,si,9,290,13,-1,0
CODDOC0723,32,married,terciario,no,55,no,no,2,124,3,-1,0
CODDOC0725,26,single,secundaria,no,455,no,no,29,240,1,182,8
CODDOC0728,29,single,desconocido,no,2929,no,no,11,91,1,-1,0
CODDOC0729,57,married,secundaria,no,3071,si,si,7,63,3,-1,0
CODDOC0731,38,single,secundaria,no,1146,si,no,21,91,2,-1,0
CODDOC0732,48,married,primaria,no,1092,no,si,18,79,1,172,8
CODDOC0735,28,single,secundaria,no,26,si,no,7,227,2,-1,0
CODDOC0736,30,single,secundaria,no,566,no,no,5,110,1,-1,0
CODDOC0738,36,married,secundaria,no,480,no,no,20,213,1,-1,0
CODDOC0739,36,single,secundaria,no,1855,si,no,4,75,1,273,1
CODDOC0740,46,married,secundaria,no,1034,no,no,8,109,2,-1,0
CODDOC0743,46,married,secundaria,no,0,si,no,22,154,1,124,1
CODDOC0744,55,married,primaria,no,3334,no,no,14,632,4,-1,0
CODDOC0745,33,married,terciario,no,4020,si,si,15,251,1,-1,0
CODDOC0746,53,married,secundaria,no,66,no,si,8,141,1,-1,0
CODDOC0747,41,single,secundaria,no,-41,si,si,3,154,1,-1,0
CODDOC0748,60,married,secundaria,no,322,si,no,7,63,1,-1,0
CODDOC0749,35,married,primaria,no,2643,no,si,8,259,1,-1,0
CODDOC0750,43,divorced,primaria,no,49,si,no,9,100,1,-1,0
CODDOC0751,57,divorced,primaria,no,1,no,no,15,17,10,-1,0
